,t,x,y,z,r,phi,theta
83,4400.0,-98.61458868456072,66.44651978102402,82.4391259699607,100.0,3.0,36.0
84,4430.0,-19.381500339929346,-117.32150074478432,82.4391259699607,100.0,3.0,38.0
85,4461.0,111.6102328570355,30.346890619026023,80.18645530702058,104.0,3.0,40.0
86,4492.0,-74.04059488178603,88.8581350141677,80.18645530702058,104.0,3.0,42.0
87,4523.0,-63.44025497520345,-132.3752944490501,101.76802482815019,69.0,3.0,44.0
88,4554.0,118.89300322280496,-2.1049648683995805,82.4391259699607,100.0,3.0,46.0
89,4585.0,-44.371108632703944,101.67142553211708,76.90689162432881,110.0,3.0,48.0
90,4616.0,-53.4006348567815,-59.659986582811335,55.50983583613619,156.0,3.0,50.0
91,4646.0,108.94190647680158,-33.80572606694361,79.08008661552728,106.0,3.0,52.0
92,4677.0,-13.70738174722553,106.23866342518302,74.2637336630922,115.0,3.0,54.0
93,4708.0,-81.77670544929565,-50.987691021986144,66.81143831949638,130.0,3.0,56.0
94,4740.0,94.49725726852361,-62.46325795813956,78.53185972706035,107.0,3.0,58.0
95,4770.0,16.756383806091115,107.3301879361339,75.31128714931424,113.0,3.0,60.0
96,4801.0,-101.67701568423053,-28.614922317287594,73.22903523399499,117.0,3.0,62.0
97,4832.0,41.529629860088704,-48.95319880245081,44.50583599517595,187.0,3.0,64.0
98,4862.0,47.054959542228545,100.45747773813197,76.90689162432881,110.0,3.0,66.0
99,4894.0,-127.37113971492664,1.127445518393866,88.30739504991728,90.0,3.0,68.0
100,4925.0,48.52570544875701,-108.55981302091296,82.4391259699607,100.0,3.0,70.0
101,4956.0,45.18352062551727,51.387837579093485,47.43913992420225,178.0,3.0,72.0
102,4986.0,-86.57361103856748,26.02681878662989,62.67342748110337,139.0,3.0,74.0
103,5017.0,14.85380727725733,-107.60999047501562,75.31128714931424,113.0,3.0,76.0
104,5048.0,89.76138915861037,57.075670506958375,73.74478245250505,116.0,3.0,78.0
105,5080.0,-84.96401810920909,55.087341085535634,70.20128851312161,123.0,3.0,80.0
106,5110.0,-14.837519439439959,-100.89085089941493,70.69801699545607,122.0,3.0,82.0
107,5141.0,62.07639282918804,18.064614652125563,44.821587695567736,186.0,3.0,84.0
108,5172.0,-38.303224618593894,44.34828864602429,40.625931875871146,200.0,3.0,86.0
109,5202.0,-24.386018995370012,-53.28442361113609,40.625931875871146,200.0,3.0,88.0
110,5233.0,86.00006892811427,0.0,59.62217639314166,146.0,3.0,90.0
111,5265.0,-35.78865662727095,78.19964138316557,59.62217639314166,146.0,3.0,92.0
112,5296.0,-89.11739301568186,-103.18201426106805,94.52147106833412,80.0,3.0,94.0
113,5326.0,49.07733118914797,-14.281807232681912,35.43575590501317,220.0,3.0,96.0
114,5357.0,-4.940647624418163,33.59497824796353,23.541265852781862,291.0,3.0,98.0
115,5388.0,-34.58878028260053,-22.426010204827428,28.578885485556224,254.0,3.0,100.0
116,5419.0,34.5822628360655,-21.989475179896644,28.41156396381781,255.0,3.0,102.0
117,5450.0,5.322812995297851,38.56168624197022,26.987552110275924,264.0,3.0,104.0
118,5481.0,-36.46858172181655,-10.96363148646165,26.400781767815477,268.0,3.0,106.0
119,5512.0,58.01596371536141,-65.98235106796622,60.91219503103877,143.0,3.0,108.0
120,5542.0,51.62542787875668,115.49439097924564,87.70516807105913,91.0,3.0,110.0
121,5574.0,-125.63885602905808,-1.112111939039936,87.10638938938148,92.0,3.0,112.0
122,5605.0,11.577252939470462,-24.716239069164345,18.921927588190815,514.0,3.0,114.0
123,5636.0,12.38139834451083,14.59461730463589,13.268706847814054,606.0,3.0,116.0
124,5666.0,-26.20114866822032,7.37377890882677,18.87038900664571,517.0,3.0,118.0
125,5697.0,4.181041241878108,-26.780953901066535,18.79162002936133,521.0,3.0,120.0
126,5729.0,22.636952112088554,14.963162106869166,18.812418469068813,520.0,3.0,122.0
127,5760.0,-23.198140167571907,14.46401633142669,18.95284362970276,512.0,3.0,124.0
128,5790.0,-3.4723409236861293,-26.912277303697852,18.812418469068813,520.0,3.0,126.0
129,5821.0,25.025321571411304,7.765599053110523,18.165687213028942,542.0,3.0,128.0
130,6934.0,28.75303356540043,57.36806442192436,-59.51706342407257,171.0,6.0,0.0
