,t,x,y,z,r,theta,phi
113,23693.0,-0.0,0.0,37.06026883471145,37.06026883471145,113.0,0.0
114,23895.0,-0.0,0.0,72.81218314362138,72.81218314362138,114.0,0.0
115,24095.0,-0.0,0.0,73.32309077497675,73.32309077497675,115.0,0.0
116,24296.0,-0.0,0.0,47.900708058507234,47.900708058507234,116.0,0.0
117,24498.0,-0.0,0.0,79.79049409517114,79.79049409517114,117.0,0.0
118,24698.0,-0.0,0.0,67.0066546865192,67.0066546865192,118.0,0.0
119,24899.0,-0.0,0.0,45.35584754233233,45.35584754233233,119.0,0.0
120,25101.0,-0.0,0.0,70.81072321808298,70.81072321808298,120.0,0.0
121,25302.0,-0.0,0.0,62.19523495445995,62.19523495445995,121.0,0.0
122,25503.0,-0.0,0.0,57.10622447419138,57.10622447419138,122.0,0.0
123,25704.0,-0.0,0.0,75.4094064521936,75.4094064521936,123.0,0.0
124,25905.0,-0.0,0.0,57.10622447419138,57.10622447419138,124.0,0.0
125,26106.0,-0.0,0.0,58.60522288660374,58.60522288660374,125.0,0.0
126,26307.0,-0.0,0.0,68.40249578111604,68.40249578111604,126.0,0.0
127,26508.0,-0.0,0.0,70.3208151280171,70.3208151280171,127.0,0.0
128,26710.0,-0.0,0.0,73.83824976978124,73.83824976978124,128.0,0.0
129,26910.0,-0.0,0.0,62.61309510407909,62.61309510407909,129.0,0.0
130,27111.0,-0.0,0.0,68.87591296929776,68.87591296929776,130.0,0.0
131,27313.0,-0.0,0.0,70.3208151280171,70.3208151280171,131.0,0.0
132,27513.0,-0.0,0.0,57.10622447419138,57.10622447419138,132.0,0.0
133,27714.0,-0.0,0.0,70.3208151280171,70.3208151280171,133.0,0.0
134,27916.0,-0.0,0.0,65.201850659001,65.201850659001,134.0,0.0
135,28116.0,-0.0,0.0,65.64706911050632,65.64706911050632,135.0,0.0
136,28317.0,-0.0,0.0,54.28073391096629,54.28073391096629,136.0,0.0
137,28519.0,-0.0,0.0,39.42135823483588,39.42135823483588,137.0,0.0
138,28720.0,-0.0,0.0,36.941479811475006,36.941479811475006,138.0,0.0
139,28920.0,-0.0,0.0,32.9244486495233,32.9244486495233,139.0,0.0
140,29122.0,-0.0,0.0,34.617638116842954,34.617638116842954,140.0,0.0
141,29323.0,-0.0,0.0,55.31372468273506,55.31372468273506,141.0,0.0
